issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,# Cancel your organization's Team plan subscription  _Last updated: 2026-03-16T20:33:58Z_  An Owner or Primary Owner can cancel Team plan access by navigating to **[Organization settings >... Your team will continue to have access to Claude until the end of the current billing cycle.,account_management,replied,product_issue,Matched the most relevant claude support article in the billing area and answered only with corpus-grounded guidance.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,,applicant_tracking_systems,escalated,product_issue,"The issue is high-risk, unsupported, or needs human review, so it should be escalated instead of guessed."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,# Visa Credit Card Rules & Regulations  _Last modified: 2023-10-04T01:48:44.301Z_  # Visa Rules and Policy  Learn more about Visa Rules as a consumer or merchant  - [Overview](#1) - [File an... is committed to providing our partners and interested parties with greater insight into Visa's operations.,dispute_resolution,replied,product_issue,Matched the most relevant visa support article in the consumer area and answered only with corpus-grounded guidance.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"# Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans  _Last updated: Nov 12, 2025, 4:42 PM (Last updated 5 months ago)_  # Mock interviews  **What happens to my mock... You can purchase additional mock interviews à la carte.",subscriptions_payments_and_billing,replied,bug,Matched the most relevant hackerrank support article in the subscriptions_payments_and_billing area and answered only with corpus-grounded guidance.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"# Update Personal Details  _Last updated: Oct 30, 2025, 3:03 PM (Last updated 6 months ago)_  You can keep your profile information up to date to ensure that employers and the HackerRank Community... Your profile remains private by default unless you choose to make it public.",account_settings,replied,product_issue,Matched the most relevant hackerrank support article in the account_settings area and answered only with corpus-grounded guidance.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"# Support for Campus Events  _Last updated: Jun 30, 2025, 5:27 PM (Last updated 10 months ago)_  HackerRank is committed to helping you lead a successful campus event. URL to the test  Alternatively, you can submit a support request on the platform using this [form](https://portal.usepylon.com/hackerrank-support/forms/customer-request-form)**.",campusuniversity_hiring,replied,product_issue,Matched the most relevant hackerrank support article in the campusuniversity_hiring area and answered only with corpus-grounded guidance.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"# Search and Apply for Jobs  _Last updated: Mar 5, 2025, 6:50 PM (Last updated 1 year ago)_  The job search feature allows you to explore and apply for developer job opportunities worldwide. ## Applying for a job  To apply for a job:  1.",additional_resources,replied,bug,Matched the most relevant hackerrank support article in the additional_resources area and answered only with corpus-grounded guidance.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"# Coding Challenges FAQs  _Last updated: Nov 12, 2025, 4:32 PM (Last updated 5 months ago)_  **How does scoring work? **What should I do if my challenges do not load or show an infinite Processing message?**  1.",practice_coding_challenges,replied,product_issue,Matched the most relevant hackerrank support article in the practice_coding_challenges area and answered only with corpus-grounded guidance.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"# Greenhouse-HackerRank Integration FAQs API Token and Access Tests and Interviews Common Troubleshooting  _Last updated: Aug 1, 2025, 2:57 PM (Last updated 9 months ago)_  This article provides... # API Token and Access  **Why can't I view the API keys in my HackerRank for Work account?**  You must log in to **HackerRank for Work** with a **Recruiter-type** **Company Admin** user account to...",applicant_tracking_systems,replied,bug,Matched the most relevant hackerrank support article in the applicant_tracking_systems area and answered only with corpus-grounded guidance.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"# Reschedule an Interview Prerequisites Rescheduling an Interview  _Last updated: Sep 29, 2025, 12:28 AM (Last updated 7 months ago)_  You can reschedule an interview to a different time. When you reschedule, HackerRank automatically sends email notifications to the candidate and interviewers with the updated time.",manage_interviews,replied,product_issue,Matched the most relevant hackerrank support article in the manage_interviews area and answered only with corpus-grounded guidance.
